Link,Titulo,Precio,Ubicacion,Ventas 60 dias,Reviews,Rating,Comentarios,Ciudad_num,num_palabras
https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=YvLQpNSONvS7XJE%2B9%2BfmTki%2FczM4necopUtDDwQrtMX7akLXD9vxnUcVza3ia%2B9KYJm9RfKP2y0zdxJUdGbyCatyFXwHowITzIC%2Fum9L8v49FK0Zafto9ZrdGQtNVW2Z3K%2FuS8FBFFak9W8TJNywvc4nbI4VSchKXsJe2dUwIq6EmFpPIOxl6MZfM9rhEvYYnI4kL0LcyBawdoJo0t4v2wJUVvtXCvPceeT0KJVSbczgEDOkqp78dffoA3%2BvVY%2B2kErA%2FAJ25yBcZ5kpgmWXfTszltvY8FA38wdr1uNtlvulGqA1HdGLcH31k4peI0inqV16xONcsiaic3EPB11J8%2BSR%2FGrPYwKr7quZAweZJxzCAKzDCeCeHBgtRDnrqfTxmCx7jJmmvWc3FdLL3Iu25%2B7od8Ab8KGP0ZAGcxfbfAKHKtqPw1onnrf9sNFtlPESItzFmwbCG14NOJStGlxtlkpaoFqGjBjJiw%2FnUXeGG8Ld1x6aOfpjI0S5Ia38NWmgknr4JUDSUfYsEZEo3VwD8RXgwHD5%2FCDr2PScqjB9y7gdE%2BddJ4vk%2BnbDUrM9LPaz0OSENxMJYerpw6UQlsaJw5uTkFngeiLsEI%2BVcEmnusHqkJGc8TC%2FokD6f8lyCW9JnMk7Y22x0aC%2FGFVeB6WUZQvu4M%2FMQubxN2ZNZXxdy8xSPqN1XY2fkwCjekXiaZRtm8JC%2BY7bymFvSH508iRoltnyW8yLjg%3D%3D&rb=x,Computador Portátil Hp 240 G7 Intel Celeron Ram 8gb Hdd 1 Tb,1049900,Medellín,100,4 calificaciones,5.0,"['Buen producto, justo como lo describen.', 'Muy bueno el producto gracias lo recomiendo.', 'Exelente, es lo que estaba esperando. Gracias.', 'Hasta el momento no he tenido quejas del pc.']",4,12
https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=bkUCVaZrr7LIYLkO1Vp2ErWpQ103JP65l85Mth6vBLxl%2BkwnSBWIaJqIGspfRwMilEBgMBrqI0aDWg8Op66TE266BzBY88PE%2F0VCnWpUOdNzBDGx7VlOCv5sjDcOSj97W%2BUKXRKoS233xyk3r0L9N2FawpynF069PRKx%2B%2Be1B2n%2BEqbQGjtm33rIwAMmtcydtrxP1OSHepbxrZCaYDpoBENbBMlFLV4fMdCkEXLMRUFupPoJxPBnY7iP1rkwMcJJ5xPNIkZisT8MGb5x0I2gD2xZlLDsRYGhI9Mz0iOXY%2Ff%2BcIcGTNmB%2FITwNGiXnnUtT9iKSCfaHz%2FFdpKmPKLajysnSciGTNrybiavWvfUjrEjZm%2FiFLmR8rES7q4URiQ%2BzYDOPcuF4TO8Shf6zQygYrR4FFT%2FWlUirx1veTGblnSPWyvJS%2BQ4322xwV8AhSu5qoIijd4VcKfBu4LJURxhrh3zXVvSZY3zrR%2BAY0hfvSLXZl4ryJ6MEb81%2Fo%2FWhGkKMZKXmmSn6AaCT0BSDkzd1FBVaICvDqXNZm%2BrJcw6uCSq2A9Tjz4g%2FioHgodyuItYxzBgw3bwJN9dksCeS%2BZhrQDDIxSD1Iy%2F42QqWF0zsznumzODw7ux6q0LV19E%2ByXU1LLPgv%2FrdMFBaVDpA%2BpPIguq3660DUqhYswc%2BTYYj88DPVuXacaT2nQ%2FfyLm1cPCN%2BYHqUp7tks0OTmfvx7yw1EK4syVdOn%2B7w%3D%3D&rb=x,Computador Portatil Hp Ryzen 5 16gb Ram 480gb Ssd Disco Win,2320000,Bucaramanga,1000,1 calificación,4.0,['Hasta el momento bueno.'],3,11
https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=6uT4nYSx8SS5Om4HZPhBsNtEYHA8RhMxQTsxXR5YcPwcvhJPika%2BV%2B5L%2Fg4tzkRpWrKANkrDv4Hgn5Epqfq8%2FE0EGQhVQagSKwiMYJ5nKaJSY8VhsEcnJFC4U2CdqjkZ%2Fgo127LmwDcsdPyO0PBhx02pKiio7spDr3Zgd1ZMdYikwVCY%2FVfLADj15byDZKUAdS0O0HuzNk9HOv166KR4WP0I%2BDKY%2BwLxbdJpoYDkB9MVsGGCM54510p2KgV6zaG3VPH9EUdNIH31FM%2Bq6BmK5j5LG56r7g3dSxRXUXZYEiLSlevT9I%2Bxs7Ss9zfVvXLtcdqxLhUarALS06LZKY61f8EIuTv96jJY2oKSwIvVtHeM0pWoj8pUtSUOf38SEa2z2bIQ8gtc5%2FKWU6tkKtF4QvfbyMgThKIs5N0QZTiAQP%2BLtMErjgB3BoHtipFXsveCjKvqL1veSm0o5zUxSDwsH4KatHD8JS0Qkrj%2Bpn8WVR4NwUiGXq25NozJDdA9U6gxBVMypxBW7j3iN2t4Q0q6MY8d7mO42F0ymmNlq2l2WQofBIv8V%2FhFygecx6wj%2BoBuE9v5m6H9vk4CXOk3Z%2Fm9IqaIScz2aFiRs5%2BAIOr08N2zBRIegxGTjjDkWCrrk2HoWAlo7U0AQcC67ObtnacYatm6NL3kQILaQRvpLEwQIlsso8XMIH1BYOLlDJa8y0WONMN1Rh%2FuBSp%2F%2ByUBulskGV0PMA%3D%3D&rb=x,Portatil Lenovo Intel Dual Core Disco1000gb Ram8gb W10,1149900,Bucaramanga,50,9 calificaciones,3.9,"['Compré el equipo hace 8 meses y ahora no sirve, tenía una garantía de un año pero ahora nadie responde.', 'Es muy lento no parece que tuviera una ram de 8 gb el windows ya caduco no lo recomiendo.', 'Bueno para el precio y rápido me gustó.', 'Hasta el momento, funciona muy bien, no me ha dado problemas de ningún tipo.', 'Muy satisfecho. Buen producto tal cual dice la descripción.']",3,8
https://articulo.mercadolibre.com.co/MCO-904927332-laptop-hp-245-g7-gris-15-amd-athlon-3020e-8gb-de-ram-1tb-_JM#position=29&search_layout=stack&type=item&tracking_id=7f6c4501-0437-44f8-bbc5-fdb218dc2bc8,"Laptop Hp 245 G7 Gris 15, Amd Athlon 3020e  8gb De Ram 1tb",1180000,Bogota,100,2 calificaciones,4.5,"['Deberían cambiar el título a 14"" en vez de 15.']",1,13
https://articulo.mercadolibre.com.co/MCO-1150846059-combo-laptop-portatil-asus-intel-dual-core-mem-4gb-256gb-ssd-_JM#position=40&search_layout=stack&type=item&tracking_id=7f6c4501-0437-44f8-bbc5-fdb218dc2bc8,Combo Laptop Portátil Asus Intel Dual Core Mem 4gb 256gb Ssd,1120000,Bucaramanga,1000,1 calificación,5.0,"['Me encanto !!!! en relación precio - calidad es genial. Es chiquita, rápida y liviana ! perfecta para estudiar, hasta para ver videos o películas.']",3,11
https://articulo.mercadolibre.com.co/MCO-586048886-portatil-dell-3490-i5-10ma-ssd-240gb-hdd-1tb-8gb-win10p-_JM#position=6&search_layout=stack&type=item&tracking_id=e11858bf-92dd-4e4a-b562-c4518b37bf6a,Portátil Dell 3490 I5 10ma Ssd 240gb + Hdd 1tb 8gb Win10p,2329000,Bucaramanga,100,3 calificaciones,4.0,"['Es un buen equipo, aunque tiene deficiencias de duración de batería.', 'Excelente equipo rápido inicio y excelente rendimiento.', 'Muy buen portátil, muy rápido. El único problema que tengo es que a pesar de estar suspendido sigue gastando batería como si estuviera trabajando normal.']",3,12
https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=QF1HDFfiqwEW4iuytRXxEJiMupDpKKLRMWEGPb68vt4Ucd5EUq3cj3d%2Bn8r5Pyl%2FLBOmL%2FX3hG1AUoPyiKI516CooVjlkSvyeLY%2BlVGudIGUVr3pUEyJMTOjAAP7hyEhzZmIOAEaA5yg6svHP1N2hyB%2FHNs9ojR%2FmU89cK0fn%2FqYbfm26yJcVbALeP%2BO1OjiCM1zKATz2R9odPWfOw5OVzOB9y9wiXEzF1KXHAE4Ib9evqv%2FwTUuIH%2F2MPttm3YpRW9aJV15NMHu1EWSybpHCXzf1jyCUs0xV2bOerVgf2xySXSWCWJCtWyav3m3F9iTSBDF%2F8CATMpw1xGFYWuOeyXSkRhS%2BgWWe5j3UVTasmjMYq6MVDtI47VblLyvxxfN6H8R0YVvBFL6Vq8s0c6KiIhyA6la%2Fh3tGiuC%2BIZHg97ctkokBCOWZ2j9tQKAD%2FCz0lQTxo8kgPBiz%2BJJKHPG5O48Wnfq6zr6CINDU2pHmuHGt1a7Yk2%2FVH0M%2BWUV3DMa8MP%2Fz1FCVO4sYXw6u2XSRf9LUojj6zJGLNMAAPUnPdWZDJAXPokXbQI6KH8ZDT%2FwII6bCeBLVXXbSzWPa6C76DIlkCYvJIgd5ufpUcJpQ3qV88EnZZuyN6VlKhpGe45ugraVAX7t%2FIYeH9BVzn2k%2FFCLQGDwy9z9oO6CziHeZc6QRCEOMdlMeRZp50aH9onpAA2CcrM3jThWjSGOBSU2metumPFNLTU%3D&rb=x,Computador Portatil Hp Ryzen 5 20gb Ram 1tera Ssd Disco Win,2675000,Bucaramanga,1000,1 calificación,5.0,['Super.'],3,11
https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=GDUY42xtPOcPsTBx4jci9Q0QVdx%2FNIq5LMvYz1SMcBMIAnw%2F0or4VrwT7D39odhUhu3F6FlLGxRXbV2UJZl%2FPRTkmXaz8vT4by0i%2FVfDC39ayEIIm5B%2BpIGC00%2FkPLds7otTu6w53VlR81UwjKaftriTyce8rl%2F14dqJX6Qcm4Jn%2FBuPHZ48%2BTMIWXb972xMozZ0%2BVO8xTkWELwTDOh0pJcz%2FDtpk42T1AQhTDYKVWz7GwCUxpBhQNqBvyx%2BL8atlVCciHiBSD2wPPJislHQMiEX%2FaO2PAQlwiJHamAH2vzo3EyR6iAm1q8vvnOfDhXTbdLtxGnBKzp5hhdm%2FvDHNA3jaLO%2FWID35SJK%2FIvwLONaAkyCOgZYM%2Fv3NkBLX3Z%2B3kWUtalUfZ%2FvLDDKRXJf5AI1bdNRPPNxhnyMkEm4jf7Y7Ch9dyQdLDs%2B6E41UZAonh2cScocs4uBNalt2W5D%2B2i5bDNIg0KLUNsF79C25vLO5yOIHJ%2B8B0cO9k%2F39py56VBsMXMr2zaQ6s1%2B04fhEMtmKRUkkPExRiX6QKI57ZSYkQbnytIy21GChrsta7UocDxzLLHpXqy94xBkNURBWdoVLVpVPf0gWcAEy6IaG0ovALt3S%2Bpwvj%2FtXZf26x5nPqZ6M0QcZ48zu0mBM9lTZ4IxsFUuiLlrATIUVK6Z3Kf387UVokonWd%2FZ%2FIkOPllcEGq3ckAe9n1Bwk24VDqry%2B4aykuQ&rb=x,Computador Portátil Hp 240 G8 Intel Cel 1tb - 8gb 14  Win10,1019000,Ibagué,100,2 calificaciones,5.0,['Recomendado. M excelente.'],5,12
https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=r%2B5kz7ulfgqOeGCeUfF9RvnO2Gcv5OLDrOeIVyDNOlhf5f72H9nhFqsyUgnmf765Ek3d3y650T3RhjioCb3q9yCU%2Fqot3aREvFh%2FuEZSvZFWgczRZX2vG0db5jYLAnQjgQy%2BXwaJDmPmJ4J9zbQjb7jxbvBD3xxsSQR%2FhVohXicIRfohOfZemwkmUq2iKqJ67G%2FNaJvVmkMSvwRivjAHi5MedZiIaQBBoNNbq2fg8QId7X8n9gE7%2F3Nc8NncHiCWGLKsodEWUnfFBRMFB465H9G8h8bwS5VT3ssCLXEfhJgyED5r%2FwJPuET%2BMkGteJuWVK7wlIJgba0GhqvaSaP0OFMufdvBrmJ9rNdAdVlmDxYmC0xAsO57pl2AxTptoICj93i29QUtYgCMzTORly71DO8C0uk6c9uhH33egGQ0Sj6tG5Xg0fSpOt%2F5gHX81caqYVFQJKeXIbLUECkvIea%2FDZFdN7dnfHKhL%2FWE5NOeCyEH62QsSOZA00lip5%2B4jKyT4qek4gYcMm4KK4TeM8Gz%2BInrw2mQNogirDwmgOd7OYncIDv13TVS3fAAKmIhe%2FS0hwMS9024Cex4R1lVKNwc6tm5VCI%2Fld429BkxBLzBI6dCc6xZTzQm59ZOE86I2tkmGXf2Z5DbeYU5UYAXyEfmYw1minmXqYXzSSX7%2FTjma9GHGiNU7XPpXzPjCs%2F1hO8HItvM3aNn6QqexYIYMKPkf3j0vQ%3D%3D&rb=x,Portatil Lenovo Intel Dual Core Disco1000gb Ram8gb W10,1149900,Bucaramanga,50,9 calificaciones,3.9,"['Compré el equipo hace 8 meses y ahora no sirve, tenía una garantía de un año pero ahora nadie responde.', 'Es muy lento no parece que tuviera una ram de 8 gb el windows ya caduco no lo recomiendo.', 'Bueno para el precio y rápido me gustó.', 'Hasta el momento, funciona muy bien, no me ha dado problemas de ningún tipo.', 'Muy satisfecho. Buen producto tal cual dice la descripción.']",3,8
https://articulo.mercadolibre.com.co/MCO-842339929-dell-inspiron-3501-intel-core-i3-1115g4-8gb-ram-256gb-ssd-_JM#position=26&search_layout=stack&type=item&tracking_id=e11858bf-92dd-4e4a-b562-c4518b37bf6a,Dell Inspiron 3501 Intel Core I3 1115g4 8gb Ram 256gb Ssd,1670000,Ipiales,50,1 calificación,5.0,"['Excelente, todo va muy bien. Con el rendimiento.']",7,11
