Link,Titulo,Precio,Ubicacion,Ventas 60 dias,Reviews,Rating,Comentarios
https://articulo.mercadolibre.com.co/MCO-1064349370-toshiba-l735-core-i3-8-ram-256-ssd-windows-11-pro-_JM#position=8&search_layout=stack&type=item&tracking_id=e653ac57-6e40-4dd6-9c16-a8753b2bfccd,Toshiba L735 Core I3 - 8 Ram - 256 Ssd - Windows 11 Pro ,820.000,"Suba, Bogotá D.C..",+50,,,[]
https://articulo.mercadolibre.com.co/MCO-613030498-2020-hp-pavilion-x360-14-fhd-wled-tactil-2-en-1-convertibl-_JM#position=9&search_layout=stack&type=item&tracking_id=e653ac57-6e40-4dd6-9c16-a8753b2bfccd,2020 Hp Pavilion X360 14 ''fhd Wled Táctil 2 En 1 Convertibl,5.098.900,"Engativá, Bogotá D.C..",+1000,,,[]
https://articulo.mercadolibre.com.co/MCO-630243284-laptop-latitude-7420-2-en-1-i5-11-1145-g7-16gb-256gb-ssd-1-_JM#position=10&search_layout=stack&type=item&tracking_id=e653ac57-6e40-4dd6-9c16-a8753b2bfccd,Laptop - Latitude 7420 2-en-1 I5 11-1145 G7 16gb 256gb Ssd 1,8.809.000,"Suba, Bogotá D.C..",+500,,,[]
https://articulo.mercadolibre.com.co/MCO-846291712-portatil-acer-es1-411-arreglar-o-repuestos-_JM#position=11&search_layout=stack&type=item&tracking_id=e653ac57-6e40-4dd6-9c16-a8753b2bfccd,Portatil Acer Es1-411 Arreglar O Repuestos,189.000,"Kennedy, Bogotá D.C..",+5,,,[]
https://articulo.mercadolibre.com.co/MCO-858217944-acer-nitro-5-portatil-gamer-ryzen-7-rtx-3060-16gb-1tb-_JM#position=12&search_layout=stack&type=item&tracking_id=e653ac57-6e40-4dd6-9c16-a8753b2bfccd,Acer Nitro 5 Portátil Gamer Ryzen 7 Rtx 3060 16gb 1tb,8.537.900,"Cali, Valle Del Cauca.",+100,,,[]
https://articulo.mercadolibre.com.co/MCO-1072162826-portatil-hp-amd-ryzen-7-4700u-ram-12-gb-512-gb-ssd-156-_JM#position=13&search_layout=stack&type=item&tracking_id=e653ac57-6e40-4dd6-9c16-a8753b2bfccd,"Portátil Hp, Amd Ryzen 7 4700u, Ram 12 Gb, 512 Gb Ssd, 15.6 ",2.780.000,"Bucaramanga, Santander.",+50,,,[]
https://articulo.mercadolibre.com.co/MCO-1092659745-portatil-lenovo-thinkpad-core-i5-con-cargador-_JM#position=14&search_layout=stack&type=item&tracking_id=e653ac57-6e40-4dd6-9c16-a8753b2bfccd,Portátil Lenovo Thinkpad Core I5 Con Cargador ,540.000,"Chapinero, Bogotá D.C..",+5,,,[]
https://articulo.mercadolibre.com.co/MCO-1248412408-apple-macbook-pro-14-mkgq3ea-m1-pro-16gb-1tb-mac-os-2021-_JM#position=15&search_layout=stack&type=item&tracking_id=e653ac57-6e40-4dd6-9c16-a8753b2bfccd,Apple Macbook Pro 14 Mkgq3e/a M1 Pro 16gb 1tb Mac Os 2021,12.139.000,"Cali, Valle Del Cauca.",+1000,,,[]
https://articulo.mercadolibre.com.co/MCO-901917198-lenovo-thinkpad-11e-yoga-6th-gen-stylus-pantalla-tactil-2-_JM#position=16&search_layout=stack&type=item&tracking_id=e653ac57-6e40-4dd6-9c16-a8753b2bfccd,"Lenovo Thinkpad 11e Yoga 6th Gen + Stylus, Pantalla Táctil 2",1.526.900,"Fontibón, Bogotá D.C..",+100,,,[]
https://articulo.mercadolibre.com.co/MCO-872087431-hp-gaming-156plg-15-dk1035la-intel-i7-8gb-ram-256gb-ssd-_JM#position=17&search_layout=stack&type=item&tracking_id=e653ac57-6e40-4dd6-9c16-a8753b2bfccd,"Hp Gaming 15.6pLG, 15-dk1035la, Intel I7, 8gb Ram, 256gb Ssd",6.200.000,"Barranquilla, Atlantico.",+25,,,[]
